Latitude,Longitude,Total Deaths,Total Damages ('000 US$),Dis Mag Value
0,0,30.0,3378.0,0.0
0,0,0.0,0.0,0.0
-11.164,118.378,185.0,1200.0,8.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
-31.028,-67.767,70.0,80000.0,7.0
0,0,0.0,0.0,0.0
0,0,0.0,38680.0,0.0
0,0,0.0,22592.0,0.0
0,0,3.0,2168.0,0.0
0,0,0.0,10269.0,0.0
0,0,0.0,17686.0,0.0
0,0,0.0,0.0,0.0
0,0,21.0,0.0,0.0
0,0,13.0,0.0,0.0
0,0,260.0,0.0,0.0
0,0,600.0,50000.0,0.0
0,0,5.0,0.0,0.0
0,0,8.0,0.0,0.0
45.77 N,26.76 E,20.0,0.0,6.0
0,0,0.0,0.0,0.0
0,0,10.0,10000.0,0.0
0,0,0.0,0.0,0.0
0,0,2.0,0.0,0.0
0,0,10.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,60.0,0.0,0.0
0,0,0.0,3000000.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,15.0,6800.0,0.0
0,0,0.0,0.0,0.0
0,0,1.0,0.0,0.0
0,0,7.0,0.0,0.0
0,0,0.0,2500.0,0.0
0,0,0.0,0.0,0.0
0,0,64.0,0.0,0.0
0,0,7.0,0.0,18.0
0,0,26.0,0.0,0.0
0,0,6.0,1000.0,0.0
0,0,0.0,0.0,0.0
0,0,27.0,28000.0,0.0
0,0,0.0,0.0,0.0
0,0,1.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,0.0,0.0,0.0
0,0,2.0,0.0,0.0
0,0,1.0,0.0,0.0
0,0,37.0,0.0,0.0
0,0,80.0,0.0,0.0
0,0,10.0,0.0,0.0
